weight_g,ram,ram1,android,display,internal,intenal1,camera,speed1,speed,month number,concat,timestamp,approx_price_EUR
114,Err:502,Err:502,2.1,3.2,Err:502,Err:502,5,#VALUE!,#VALUE!,8,2010 8,21,140
131,Err:502,Err:502,2.2,3.7,8,8,5,#VALUE!,#VALUE!,8,2010 8,21,220
169,Err:502,Err:502,bas,3.7,8,8,5,#VALUE!,#VALUE!,8,2010 8,21,180
136,Err:502,Err:502,2.1,3.5,200,0.1953125,5,#VALUE!,#VALUE!,8,2010 8,21,130
165,512,0.5,2.1,3.2,512,0.5,5,600,600,9,2010 9,22,
123,Err:502,Err:502,2.1,4,16,16,5,#VALUE!,#VALUE!,9,2010 9,22,200
130,Err:502,Err:502,2.1,3.2,300,0.29296875,5,#VALUE!,#VALUE!,9,2010 9,22,
118,512,0.5,2.2,3.7,2,2,5,800,800,9,2010 9,22,110
94,256,0.25,2.2,2.8,512,0.5,3.15,600,600,9,2010 9,22,100
102.1,256,0.25,2.2,2.8,512,0.5,3.15,528,528,9,2010 9,22,60
380,Err:502,Err:502,2.2,7,2,2,3.15,#VALUE!,#VALUE!,9,2010 9,22,150
184.3,512,0.5,2.2,3.7,4,4,5,800,800,9,2010 9,22,420
164,768,0.75,2.2,4.3,1.5,1.5,8,#VALUE!,#VALUE!,9,2010 9,22,150
180,512,0.5,2.2,3.7,1.5,1.5,5,800,800,9,2010 9,22,100
169,512,0.5,2.2,3.7,8,8,5,#VALUE!,#VALUE!,9,2010 9,22,170
380,512,0.5,bas,7,43540,42.51953125,3.15,#VALUE!,#VALUE!,9,2010 9,22,150
165,256,0.25,2.1,3.2,512,0.5,5,600,600,9,2010 9,22,
158,256,0.25,2.1,3.2,512,0.5,3.15,600,600,1,2011 1,23,70
109.2,Err:502,Err:502,2.2,3.2,124,0.12109375,3.15,800,800,1,2011 1,23,50
109,256,0.25,2.2,2.6,512,0.5,3.15,600,600,1,2011 1,23,150
117,256,0.25,2.2,3.2,512,0.5,5,528,528,1,2011 1,23,10
110,140,0.13671875,2.2,2.8,Err:502,Err:502,3.15,600,600,1,2011 1,23,80
155,512,0.5,2.2,4.3,1,1,8,#VALUE!,#VALUE!,1,2011 1,23,150
118,512,0.5,2.2,4,1,1,5,#VALUE!,#VALUE!,1,2011 1,23,120
152,Err:502,Err:502,2.2,3.5,Err:502,Err:502,3.15,#VALUE!,#VALUE!,1,2011 1,23,130
143,Err:502,Err:502,2.2,4.3,2,2,8,#VALUE!,#VALUE!,1,2011 1,23,130
