ram1,android,weight_g,speed final,display,camera,intenal1,approx_price_EUR
0.5,2.3,175,1,3.7,5,1,200
0.5,2.3,117,1,4.2,8,0.3125,180
0.5,2.3,158.8,1,4.3,8,16,210
1,3,680,1,10,5,16,280
0.25,2.2,109,0.6,3.2,3.15,0.5,110
0.25,2.2,148,0.8,3.2,3.15,0.25390625,70
0.5,2.3,192,1,3.5,5,2,70
0.5,2.3,-1,0.8,3.2,3.2,0.5,90
0.5,2.3,130,1,3.1,5,4,90
-1,2.3,132.1,-1,4,5,0.5859375,280
0.5,2.3,164,1,4,5,4,120
-1,2.3,126,0.8,3.2,3.15,0.1220703125,130
0.5,2.3,160,1,3.5,5,2,190
0.5,2.3,108,1,3.8,5,2,190
0.5,2.3,127,-1,3.5,5,0.5,330
1,2.3,147,1.2,4.3,8,8,230
0.75,2.3,162.5,1.5,4.7,8,16,170
1,2.3,147,1,4,8,8,110
1,2.3,109,1.5,4.5,8,16,180
0.25,2.3,109,0.8,3.2,3.15,0.5,130
0.5,2.3,134,1.2,3.1,5,4,160
1,2.3,176.9,1.2,4.5,8,16,160
0.75,2.3,147.4,1.2,4,5,4,140
0.5,2.3,116,1,3.7,3.15,1,100
1,2.3,135,1.5,4.5,8,4,120
1,2.3,139,1.5,4.5,8,4,140
1,2.3,127,1.2,4.3,8,16,220
1,2.3,127,1.2,4.3,8,16,220
1,2.3,130.5,1.5,4.5,8,16,180
1,3.1,650,1,10,5,16,230
1,3.2,586,1.3,10,8,-1,350
-1,3.2,-1,1.2,7,5,16,350
1,4,150,1.2,4.6,5,32,150
1,-1,135,1.2,4.6,5,16,180
0.5,2.3,400,1,7,3.15,16,170
0.5,2.3,120,0.8,3.5,5,-1,120
-1,2.3,105,0.8,3.2,3.15,2,70
0.5,2.3,120,1,3.5,3.15,2,70
-1,2.3,118,-1,3.5,5,0.5,170
1,2.3,135,1.5,4.5,8,2,220
1,2.3,170.1,1.5,4.3,8,16,160
0.25,2.3,123,0.65,3.2,3.15,0.5,100
1,2.3,127,1.5,4.5,8,4,170
0.5,2.3,123.6,0.8,4,8,1,120
1,3.2,386,1.2,8.2,5,16,210
1,3.2,599,1.2,10,5,16,210
0.25,2.3,96,0.65,2.8,2,0.5,70
0.5,2.3,192,0.65,5.3,5,0.5,170
-1,2.3,135.4,0.65,3.7,3.15,-1,120
-1,2.3,110,-1,2.8,3.15,-1,100
-1,2.3,139,1.2,4.5,13,16,220
-1,2.3,149,1.2,4.5,13,16,280
-1,2.3,206,1.2,3.5,5,16,220
-1,2.3,109,0.832,3.1,3.15,0.5,80
-1,2.3,112.3,0.832,2.6,3.15,0.5,120
0.5,2.3,389,1.4,7,3.2,4,250
0.5,2.3,139,1.4,4,8,4,110
1,2.3,138,1.2,4.5,8,16,190
0.5,2.3,142,0.8,3.7,5,4,100
1,2.3,139,1.4,4,8,16,270
0.5,2.3,115,0.8,3.5,5,0.5,70
1,2.3,138,1,4.3,8,8,210
1,3.2,390,1.2,8.2,5,16,290
1,3.2,599,1.2,10,5,16,260
1,3.2,386,1.2,8.2,5,16,210
1,3.2,599,1.2,10,5,16,210
-1,2.1,100.7,0.42,2.8,2,0.146484375,80
-1,2.1,-1,0.6,3.5,3.15,-1,190
-1,2.2,144,0.6,3.5,5,0.146484375,110
-1,2.2,120,0.6,2.8,2,0.146484375,80
0.25,2.2,-1,0.6,3.2,3.15,0.5,110
0.5,2.2,198,0.8,3.8,5,2,160
0.5,2.2,440,1,7,3.15,8,160
-1,2.2,440,-1,7,3.15,-1,210
-1,2.2,122,0.6,3.5,5,0.5,380
-1,2.2,122,-1,2.8,3.15,0.13671875,40
-1,2.2,134,1,3.1,5,8,150
-1,2.2,182,1,5,3.15,8,180
-1,2.2,453.6,1,7,5,16,210
0.75,2.2,135.5,1,4,8,1.1,190
-1,2.2,453.6,1,7,5,16,140
0.466796875,2.2,131,1,4,5,4,150
0.5,2.3,185,1,4.8,8,8,220
0.5,2.3,120,0.8,3.4,5,0.5,130
0.5,2.3,120,0.8,2.6,5,0.5,70
0.25,2.3,104,0.6,3.2,3.15,0.5,100
0.5,2.3,120,0.8,4.3,5,-1,250
0.5,2.3,142,1,3.7,8,1,190
0.5,2.3,105,0.6,3.2,5,0.5,100
0.75,2.3,130,1,3.7,5,1.1,100
1,2.3,420.8,1.5,7,5,16,300
1,2.3,420.8,1.5,7,5,16,110
0.5,2.3,175,1,4,5,0.390625,140
0.5,2.3,175,1,4,5,0.390625,70
1,2.3,116,1.2,4.3,8,16,170
0.5,2.3,126,1,3.7,8,0.3125,110
-1,3,621,1,8.9,-1,32,190
-1,3,589,1,10,8,16,290
-1,3,621,1,8.9,-1,32,710
1,3,730,1,10,5,16,310
1,3,730,1,10,5,16,310
1,3,777,1,10,5,16,490
1,3,730,1,10,5,16,310
1,3,730,1,10,5,16,200
1,3,450,1,7,5,8,100
1,3.2,470,1,7,5,8,260
0.5,2.2,121.8,0.8,3.5,3.15,4,80
-1,2.2,-1,-1,3.1,3.15,0.16015625,90
0.5,2.2,162,1,3.5,3.15,1,310
0.5,2.2,193,1,3.5,5,1,350
0.5,2.2,168,1,4.3,-1,8,230
0.5,2.2,141.8,1,4,8,8,350
0.263671875,2.2,103.4,0.8,2.8,3.15,-1,120
1,2.3,170.1,1.2,4.3,5,4,220
0.5,2.3,129,1,4,5,16,270
0.5,2.3,131,1,4,5,16,150
-1,2.3,129,1,4,5,16,180
1,2.4,425,1.5,7,5,32,220
1,3,453,1,8.9,3.15,16,290
1,3,447.9,1,8.9,3.15,16,350
1,3,560,1,10,3.15,16,310
1,3.1,565,1,10,3.15,16,370
0.1640625,2.1,104,0.6,3,3.15,0.125,100
-1,2.2,91,0.6,3.2,3.15,0.15625,70
-1,2.2,108,0.8,3.2,2,0.1142578125,90
-1,2.2,120,-1,3.1,2,85,100
-1,2.2,151,1,4.3,5,16,210
-1,2.2,91,0.6,3.2,3.15,0.15625,140
0.25,2.2,116,0.6,2.8,2,0.5,80
0.75,2.2,135,1,4,8,1.1,100
0.5,2.3,154,-1,3.6,5,1,300
0.5,2.3,119,1.4,4,5,8,230
0.75,2.3,148,1.2,4.3,8,1,210
0.75,2.3,148,1.2,4.3,8,1,120
0.25,2.2,100,0.528,2.8,3.15,0.5,70
-1,2.2,106,0.416,2.4,2,-1,70
-1,2.2,170,1,3.5,5,0.419921875,100
-1,2.2,108,0.6,3.1,3.2,-1,60
-1,2.2,-1,0.416,2.8,2,-1,50
-1,2.2,104,0.528,2.8,2,0.126953125,130
-1,2.2,145,1,3.1,5,2,140
0.5,2.3,136.5,1,4,8,8,230
0.5,2.3,136,1,3,5,0.390625,140
0.5,2.3,155,1,4.3,8,8,230
0.5,2.3,99,1,3,5,0.3125,120
0.25,-1,125,0.806,3.1,5,0.5,120
-1,-1,110,0.806,3.2,3.15,0.146484375,230
0.5,2.2,143,1,4.1,5,2,210
0.263671875,2.2,130,0.8,3.2,3.15,0.146484375,170
-1,2.2,120,0.416,-1,2,0.25,220
0.25,2.2,110,0.6,2.8,3.15,0.5,50
0.75,2.3,150,1,3.8,5,8,200
0.5,2.3,120,0.8,2.6,5,0.5,70
0.5,2.3,149,1,4,8,4,180
0.5,2.3,184,1,4,8,16,230
0.5,2.3,125,1,3.5,3.15,1,200
1,2.3,158,1,4.3,8,16,270
0.5,2.3,110.8,1,3,5,1,170
0.5,2.3,100,1,3.3,8,1,170
-1,2.3,117,0.8,3.5,3.15,-1,90
1,2.3,135,1,4.2,5,8,200
0.5,2.3,116,1,3.5,3.15,1,90
0.75,2.3,184,1.2,3.7,8,4,350
1,3.1,750,1,10,5,16,330
0.5,2.2,109,1,4,5,2,140
0.25,2.3,120,0.6,3.5,5,0.5,100
0.25,2.3,110,0.6,2.8,3.15,0.5,100
0.25,2.3,110,0.6,2.8,3.15,0.5,100
1,2.3,116,1.2,4.3,8,16,260
0.5,2.3,167,1,4,8,16,200
0.25,2.3,120,-1,3.5,3.15,0.5,70
0.5,2.3,129.2,0.8,3.2,3.15,0.5,80
0.25,2.3,129,0.8,2.8,3.15,0.5,70
0.25,2.3,110,0.6,2.8,3.15,0.5,120
0.5,2.2,382,0.8,7,3.15,0.5,120
-1,2.2,135,-1,3.2,3.15,-1,120
0.5,2.2,100,0.5,2.8,3.15,0.25,200
0.5,2.3,113,1,3.1,5,4,220
0.5,2.3,118,1,3.7,5,2,170
-1,2.3,108.4,1,2.6,5,-1,200
-1,2.3,108.6,0.832,2.6,3.15,0.15625,110
0.5,2.3,100,0.8,3.6,3.15,0.146484375,90
0.5,2.3,115,1,3.2,5,0.3125,120
1,2.3,132,1.5,4.5,8,16,200
0.5,2.3,121,1,3.7,5,2,80
0.5,2.3,110,1,3.8,5,2,110
0.5,2.3,84.3,0.8,3.5,5,0.5,100
1,2.3,121.9,1.2,4.3,8,16,170
1,2.3,130,1.2,4.5,8,16,130
0.5,2.3,117,1.4,4.2,8,1,210
0.5,2.3,184,1,4,8,8,180
0.5,2.3,126,1,3.7,5,1,150
0.5,2.3,114.7,1.4,3.7,5,2,160
0.283203125,2.3,97.5,0.83,3,2,0.17578125,70
1,2.3,135,1.5,4.5,8,16,160
1,3.1,598,1,9.4,5,16,180
1,3.2,455,1.5,8.9,3.15,16,330
1,3.2,372,1,5.5,5,4,180
1,3.2,625,1,9.4,5,16,260
0.75,4,129,1.4,4,5,4,150
0.5,2.2,130,0.8,3.8,5,-1,80
0.5,2.3,413,1,7,-1,8,120
0.5,2.3,138,0.8,3.5,5,0.5,90
0.5,2.3,108,0.6,3.2,3.15,0.5,70
